Table 1
Place,% Insufficient Sleep,Error Margin,state,
Pottawatomie,35%,34-36%,Oklahoma,
Pushmataha,36%,35-37%,Oklahoma,
Roger Mills,32%,31-33%,Oklahoma,
Rogers,33%,33-34%,Oklahoma,
Seminole,35%,34-36%,Oklahoma,
Sequoyah,36%,36-37%,Oklahoma,
Stephens,33%,32-34%,Oklahoma,
Texas,34%,33-35%,Oklahoma,
Tillman,35%,34-36%,Oklahoma,
Tulsa,32%,31-32%,Oklahoma,
Wagoner,31%,30-32%,Oklahoma,
Washington,33%,32-34%,Oklahoma,
Washita,33%,32-34%,Oklahoma,
Woods,29%,28-31%,Oklahoma,
Woodward,33%,31-34%,Oklahoma,
Big Horn,30%,29-31%,Wyoming,
Campbell,35%,34-36%,Wyoming,
Carbon,31%,30-32%,Wyoming,
Converse,28%,27-29%,Wyoming,
Crook,28%,27-29%,Wyoming,
Fremont,30%,30-31%,Wyoming,
Goshen,28%,27-29%,Wyoming,
Hot Springs,31%,30-33%,Wyoming,
Johnson,27%,26-28%,Wyoming,
Laramie,32%,31-33%,Wyoming,
Lincoln,29%,28-30%,Wyoming,
Natrona,30%,29-31%,Wyoming,
Niobrara,31%,29-32%,Wyoming,
Park,27%,26-28%,Wyoming,
Platte,30%,29-31%,Wyoming,
Sheridan,31%,30-32%,Wyoming,
Sublette,29%,28-30%,Wyoming,
Sweetwater,31%,30-32%,Wyoming,
Teton,27%,26-27%,Wyoming,
Uinta,31%,30-32%,Wyoming,
Washakie,28%,28-29%,Wyoming,
Weston,30%,29-31%,Wyoming,
,,,,
Portage,32%,31-34%,Wisconsin,
Price,33%,32-34%,Wisconsin,
Racine,36%,35-37%,Wisconsin,
Richland,32%,31-33%,Wisconsin,
Rock,34%,34-35%,Wisconsin,
Rusk,32%,31-34%,Wisconsin,
Sauk,32%,31-33%,Wisconsin,
Sawyer,32%,31-33%,Wisconsin,
Shawano,33%,32-34%,Wisconsin,
Sheboygan,33%,33-34%,Wisconsin,
St. Croix,31%,30-33%,Wisconsin,
Taylor,33%,32-34%,Wisconsin,
Trempealeau,31%,30-32%,Wisconsin,
Vernon,32%,31-33%,Wisconsin,
Vilas,28%,27-29%,Wisconsin,
Walworth,31%,30-32%,Wisconsin,
Washburn,30%,29-31%,Wisconsin,
Washington,30%,29-31%,Wisconsin,
Waukesha,31%,30-31%,Wisconsin,
Waupaca,34%,33-35%,Wisconsin,
Waushara,31%,30-32%,Wisconsin,
Winnebago,33%,32-34%,Wisconsin,
Wood,33%,32-34%,Wisconsin,
,,,,
Barbour,40%,38-41%,West virginia,
Berkeley,43%,42-44%,West virginia,
Boone,42%,41-44%,West virginia,
Braxton,38%,36-39%,West virginia,
Brooke,36%,35-37%,West virginia,
Cabell,37%,36-38%,West virginia,
Calhoun,40%,39-42%,West virginia,
Clay,38%,36-39%,West virginia,
Doddridge,37%,36-38%,West virginia,
Fayette,40%,39-41%,West virginia,
Gilmer,40%,39-42%,West virginia,
Grant,36%,35-38%,West virginia,
Greenbrier,38%,37-39%,West virginia,
Hampshire,39%,38-41%,West virginia,
Hancock,40%,39-41%,West virginia,
Hardy,41%,40-42%,West virginia,
Harrison,37%,36-38%,West virginia,
Jackson,39%,38-40%,West virginia,
Jefferson,35%,34-36%,West virginia,
Kanawha,38%,37-39%,West virginia,
Lewis,41%,40-42%,West virginia,
Lincoln,38%,36-39%,West virginia,
Logan,40%,38-41%,West virginia,
Marion,40%,39-41%,West virginia,
Marshall,38%,36-39%,West virginia,
Mason,41%,40-42%,West virginia,
McDowell,45%,44-47%,West virginia,
Mercer,42%,41-43%,West virginia,
Mineral,39%,38-41%,West virginia,
Mingo,40%,39-41%,West virginia,
Monongalia,37%,36-38%,West virginia,
Monroe,37%,35-38%,West virginia,
Morgan,36%,35-38%,West virginia,
Nicholas,39%,37-40%,West virginia,
Ohio,37%,35-38%,West virginia,
Pendleton,37%,36-38%,West virginia,
Pleasants,39%,37-40%,West virginia,
Pocahontas,36%,35-38%,West virginia,
Preston,39%,38-40%,West virginia,
Putnam,34%,33-35%,West virginia,
Raleigh,42%,41-43%,West virginia,
Randolph,41%,40-42%,West virginia,
Ritchie,37%,36-39%,West virginia,
Roane,37%,36-39%,West virginia,
Summers,43%,42-44%,West virginia,
Taylor,40%,39-41%,West virginia,
Tucker,35%,34-36%,West virginia,
Tyler,39%,37-40%,West virginia,
Upshur,39%,38-41%,West virginia,
Wayne,40%,39-41%,West virginia,
Webster,39%,37-40%,West virginia,
Wetzel,40%,39-41%,West virginia,
Wirt,39%,37-40%,West virginia,
Wood,36%,35-37%,West virginia,
Wyoming,42%,40-43%,West virginia,
,,,,
Adams,30%,29-30%,Washington,
Asotin,28%,27-29%,Washington,
Benton,31%,31-32%,Washington,
Chelan,28%,28-29%,Washington,
Clallam,29%,28-30%,Washington,
Clark,31%,30-31%,Washington,
Columbia,28%,27-29%,Washington,
Cowlitz,31%,30-32%,Washington,
Douglas,31%,30-32%,Washington,
Ferry,30%,29-31%,Washington,
Franklin,31%,30-32%,Washington,
Garfield,27%,26-28%,Washington,
Grant,34%,33-35%,Washington,
Grays Harbor,32%,32-33%,Washington,
Island,31%,30-32%,Washington,
Jefferson,24%,23-25%,Washington,
King,29%,28-29%,Washington,
Kitsap,27%,27-28%,Washington,
Kittitas,27%,26-28%,Washington,
Klickitat,31%,30-32%,Washington,
Lewis,32%,31-33%,Washington,
Lincoln,26%,25-27%,Washington,
Mason,33%,32-34%,Washington,
Okanogan,30%,29-31%,Washington,
Pacific,30%,29-31%,Washington,
Pend Oreille,32%,31-33%,Washington,
Pierce,36%,35-36%,Washington,
San Juan,24%,23-25%,Washington,
Skagit,29%,28-29%,Washington,
Skamania,30%,29-31%,Washington,
Snohomish,35%,34-35%,Washington,
Spokane,30%,30-31%,Washington,
Stevens,32%,31-33%,Washington,
Thurston,29%,29-30%,Washington,
Wahkiakum,26%,26-27%,Washington,
Walla Walla,27%,26-28%,Washington,
Whatcom,29%,28-30%,Washington,
Whitman,27%,26-28%,Washington,
Yakima,32%,31-33%,Washington,
,,,,
Accomack,37%,36-38%,Virginia,
Albemarle,31%,30-32%,Virginia,
Alexandria City,32%,31-32%,Virginia,
Alleghany,34%,33-35%,Virginia,
Amelia,35%,34-36%,Virginia,
Amherst,36%,35-37%,Virginia,
Appomattox,35%,34-36%,Virginia,
Arlington,34%,34-35%,Virginia,
Augusta,33%,32-34%,Virginia,
Bath,34%,32-35%,Virginia,
Bedford,32%,31-33%,Virginia,
Bland,35%,33-36%,Virginia,
Botetourt,32%,31-34%,Virginia,
Bristol City,35%,34-36%,Virginia,
Brunswick,40%,39-41%,Virginia,
Buchanan,35%,34-37%,Virginia,
Buckingham,36%,35-37%,Virginia,
Buena Vista City,37%,36-38%,Virginia,
Campbell,36%,35-37%,Virginia,
Caroline,37%,36-38%,Virginia,
Carroll,34%,32-35%,Virginia,
Charles City,40%,39-41%,Virginia,
Charlotte,38%,37-39%,Virginia,
Charlottesville City,40%,38-41%,Virginia,
Chesapeake City,37%,36-37%,Virginia,
Chesterfield,38%,37-39%,Virginia,
Clarke,32%,31-33%,Virginia,
Colonial Heights City,34%,33-35%,Virginia,
Covington City,36%,34-37%,Virginia,
Craig,33%,32-34%,Virginia,
Culpeper,33%,32-34%,Virginia,
Cumberland,36%,35-37%,Virginia,
Danville City,39%,38-40%,Virginia,
Dickenson,33%,32-34%,Virginia,
Dinwiddie,38%,37-39%,Virginia,
Emporia City,43%,42-44%,Virginia,
Essex,36%,35-36%,Virginia,
Fairfax,32%,32-33%,Virginia,
Fairfax City,32%,32-33%,Virginia,
Falls Church City,33%,32-33%,Virginia,
Fauquier,31%,30-32%,Virginia,
Floyd,33%,32-34%,Virginia,
Fluvanna,35%,34-36%,Virginia,
Franklin,33%,32-34%,Virginia,
Franklin City,40%,39-41%,Virginia,
Frederick,33%,32-34%,Virginia,
Fredericksburg City,37%,36-38%,Virginia,
Galax City,36%,35-37%,Virginia,
Giles,34%,33-35%,Virginia,
Gloucester,32%,31-33%,Virginia,
Goochland,32%,31-33%,Virginia,
Grayson,36%,34-37%,Virginia,
Greene,33%,32-34%,Virginia,
Greensville,42%,41-43%,Virginia,
Halifax,35%,34-36%,Virginia,
Hampton City,42%,41-43%,Virginia,
Hanover,31%,30-32%,Virginia,
Harrisonburg City,35%,33-36%,Virginia,
Henrico,33%,32-34%,Virginia,
Henry,38%,37-39%,Virginia,
Highland,32%,31-34%,Virginia,
Hopewell City,41%,41-42%,Virginia,
Isle of Wight,33%,33-34%,Virginia,
James City,37%,36-38%,Virginia,
King and Queen,36%,35-37%,Virginia,
King George,35%,34-36%,Virginia,
King William,36%,35-37%,Virginia,
Lancaster,33%,32-34%,Virginia,
Lee,35%,33-36%,Virginia,
Lexington City,33%,31-35%,Virginia,
Loudoun,33%,32-33%,Virginia,
Louisa,34%,33-35%,Virginia,
Lunenburg,37%,36-38%,Virginia,
Lynchburg City,35%,34-36%,Virginia,
Madison,36%,34-37%,Virginia,
Manassas City,37%,36-37%,Virginia,
Manassas Park City,38%,37-39%,Virginia,
Martinsville City,40%,39-41%,Virginia,
Mathews,33%,32-34%,Virginia,
Mecklenburg,38%,37-39%,Virginia,
Middlesex,32%,31-33%,Virginia,
Montgomery,36%,35-37%,Virginia,
Nelson,34%,33-35%,Virginia,
New Kent,34%,33-35%,Virginia,
Newport News City,37%,37-38%,Virginia,
Norfolk City,41%,40-42%,Virginia,
Northampton,35%,35-36%,Virginia,
Northumberland,31%,31-32%,Virginia,
Norton City,36%,35-38%,Virginia,
Nottoway,38%,37-39%,Virginia,
Orange,34%,33-35%,Virginia,
Page,32%,31-34%,Virginia,
Patrick,36%,35-37%,Virginia,
Petersburg City,44%,43-45%,Virginia,
Pittsylvania,35%,34-36%,Virginia,
Poquoson City,31%,30-33%,Virginia,
Portsmouth City,44%,43-45%,Virginia,
Powhatan,35%,34-36%,Virginia,
Prince Edward,36%,34-37%,Virginia,
Prince George,38%,37-39%,Virginia,
Prince William,38%,37-39%,Virginia,
Pulaski,35%,34-36%,Virginia,
Radford City,38%,36-40%,Virginia,
Rappahannock,33%,31-34%,Virginia,
Richmond,39%,38-40%,Virginia,
Richmond City,39%,38-39%,Virginia,
Roanoke,34%,33-35%,Virginia,
Roanoke City,38%,38-39%,Virginia,
Rockbridge,34%,32-35%,Virginia,
Rockingham,34%,33-35%,Virginia,
Russell,35%,33-36%,Virginia,
Salem City,33%,32-35%,Virginia,
Scott,33%,31-34%,Virginia,
Shenandoah,31%,30-32%,Virginia,
Smyth,34%,32-35%,Virginia,
Southampton,37%,36-38%,Virginia,
Spotsylvania,35%,34-36%,Virginia,
Stafford,38%,37-39%,Virginia,
Staunton City,35%,34-36%,Virginia,
Suffolk City,40%,39-41%,Virginia,
Surry,39%,38-40%,Virginia,
Sussex,41%,40-42%,Virginia,
Tazewell,34%,33-35%,Virginia,
Virginia Beach City,36%,36-37%,Virginia,
Warren,36%,35-37%,Virginia,
Washington,36%,35-38%,Virginia,
Waynesboro City,35%,34-36%,Virginia,
Westmoreland,35%,34-36%,Virginia,
Williamsburg City,34%,33-36%,Virginia,
Winchester City,35%,34-36%,Virginia,
Wise,40%,39-41%,Virginia,
Wythe,36%,35-37%,Virginia,
York,31%,30-32%,Virginia,
,,,,
Addison,29%,28-29%,Vermont,
Bennington,30%,30-31%,Vermont,
Caledonia,29%,28-30%,Vermont,
Chittenden,27%,26-28%,Vermont,
Essex,33%,32-34%,Vermont,
Franklin,35%,34-36%,Vermont,
Grand Isle,31%,30-32%,Vermont,
Lamoille,27%,26-28%,Vermont,
Orange,33%,32-34%,Vermont,
Orleans,33%,32-34%,Vermont,
Rutland,31%,30-32%,Vermont,
Washington,27%,26-28%,Vermont,
Windham,27%,26-28%,Vermont,
Windsor,30%,29-30%,Vermont,
,,,,
Beaver,28%,27-29%,Utah,
Box Elder,29%,29-30%,Utah,
Cache,28%,27-29%,Utah,
Carbon,29%,28-30%,Utah,
Daggett,27%,26-28%,Utah,
Davis,29%,29-30%,Utah,
Duchesne,31%,30-32%,Utah,
Emery,32%,31-33%,Utah,
Garfield,30%,29-31%,Utah,
Grand,30%,29-31%,Utah,
Iron,29%,28-30%,Utah,
Juab,29%,28-30%,Utah,
Kane,27%,26-28%,Utah,
Millard,28%,27-29%,Utah,
Morgan,27%,26-28%,Utah,
Piute,29%,28-30%,Utah,
Rich,28%,27-30%,Utah,
Salt Lake,30%,29-30%,Utah,
San Juan,34%,33-35%,Utah,
Sanpete,29%,28-30%,Utah,
Sevier,30%,29-30%,Utah,
Summit,25%,24-25%,Utah,
Tooele,34%,33-35%,Utah,
Uintah,31%,30-32%,Utah,
Utah,29%,29-30%,Utah,
Wasatch,28%,27-29%,Utah,
Washington,30%,29-31%,Utah,
Wayne,25%,24-26%,Utah,
Weber,31%,31-32%,Utah,
,,,,
Anderson,35%,34-36%,Texas,
Andrews,32%,31-33%,Texas,
Angelina,35%,34-35%,Texas,
Aransas,30%,29-31%,Texas,
Archer,29%,28-30%,Texas,
Armstrong,29%,28-30%,Texas,
Atascosa,33%,32-34%,Texas,
Austin,30%,29-31%,Texas,
Bailey,33%,32-34%,Texas,
Bandera,30%,29-31%,Texas,
Bastrop,33%,32-34%,Texas,
Baylor,30%,29-31%,Texas,
Bee,34%,33-35%,Texas,
Bell,36%,36-37%,Texas,
Bexar,34%,33-35%,Texas,
Blanco,29%,28-30%,Texas,
Borden,29%,27-30%,Texas,
Bosque,29%,28-30%,Texas,
Bowie,36%,35-37%,Texas,
Brazoria,31%,31-32%,Texas,
Brazos,34%,33-34%,Texas,
Brewster,30%,29-31%,Texas,
Briscoe,30%,29-31%,Texas,
Brooks,36%,34-37%,Texas,
Brown,34%,33-35%,Texas,
Burleson,30%,30-31%,Texas,
Burnet,30%,29-31%,Texas,
Caldwell,34%,33-35%,Texas,
Calhoun,33%,32-34%,Texas,
Callahan,29%,28-30%,Texas,
Cameron,34%,33-36%,Texas,
Camp,33%,32-34%,Texas,
Carson,29%,28-30%,Texas,
Cass,32%,31-33%,Texas,
Castro,33%,32-34%,Texas,
Chambers,32%,31-33%,Texas,
Cherokee,34%,33-35%,Texas,
Childress,32%,31-33%,Texas,
Clay,31%,29-32%,Texas,
Cochran,34%,33-35%,Texas,
Coke,29%,28-30%,Texas,
Coleman,30%,29-31%,Texas,
Collin,32%,32-33%,Texas,
Collingsworth,32%,32-33%,Texas,
Colorado,31%,30-32%,Texas,
Comal,30%,29-31%,Texas,
Comanche,30%,29-31%,Texas,
Concho,33%,32-33%,Texas,
Cooke,30%,29-31%,Texas,
Coryell,33%,32-34%,Texas,
Cottle,32%,31-32%,Texas,
Crane,31%,30-32%,Texas,
Crockett,31%,30-32%,Texas,
Crosby,32%,31-33%,Texas,
Culberson,33%,32-34%,Texas,
Dallam,32%,31-33%,Texas,
Dallas,33%,32-33%,Texas,
Dawson,33%,32-34%,Texas,
Deaf Smith,33%,31-34%,Texas,
Delta,31%,30-32%,Texas,
Denton,29%,29-30%,Texas,
DeWitt,32%,31-33%,Texas,
Dickens,31%,31-32%,Texas,
Dimmit,33%,32-35%,Texas,
Donley,30%,28-31%,Texas,
Duval,34%,32-35%,Texas,
Eastland,29%,28-31%,Texas,
Ector,31%,31-32%,Texas,
Edwards,29%,29-30%,Texas,
El Paso,36%,36-37%,Texas,
Ellis,34%,33-34%,Texas,
Erath,31%,29-32%,Texas,
Falls,35%,34-36%,Texas,
Fannin,32%,31-33%,Texas,
Fayette,30%,28-31%,Texas,
Fisher,31%,30-32%,Texas,
Floyd,33%,32-34%,Texas,
Foard,30%,29-31%,Texas,
Fort Bend,32%,32-33%,Texas,
Franklin,30%,29-32%,Texas,
Freestone,32%,31-33%,Texas,
Frio,34%,33-36%,Texas,
Gaines,33%,32-34%,Texas,
Galveston,35%,34-35%,Texas,
Garza,32%,31-33%,Texas,
Gillespie,29%,28-30%,Texas,
Glasscock,31%,30-31%,Texas,
Goliad,30%,29-31%,Texas,
Gonzales,33%,32-34%,Texas,
Gray,32%,31-33%,Texas,
Grayson,31%,30-32%,Texas,
Gregg,33%,33-34%,Texas,
Grimes,32%,31-33%,Texas,
Guadalupe,31%,30-32%,Texas,
Hale,32%,31-33%,Texas,
Hall,33%,32-34%,Texas,
Hamilton,29%,28-30%,Texas,
Hansford,32%,31-32%,Texas,
Hardeman,32%,31-33%,Texas,
Hardin,30%,29-31%,Texas,
Harris,34%,33-34%,Texas,
Harrison,34%,33-35%,Texas,
Hartley,30%,29-31%,Texas,
Haskell,31%,30-32%,Texas,
Hays,30%,29-31%,Texas,
Hemphill,31%,30-32%,Texas,
Henderson,33%,32-34%,Texas,
Hidalgo,33%,32-34%,Texas,
Hill,31%,30-32%,Texas,
Hockley,32%,31-33%,Texas,
Hood,30%,29-31%,Texas,
Hopkins,32%,31-33%,Texas,
Houston,34%,33-35%,Texas,
Howard,35%,34-35%,Texas,
Hudspeth,34%,33-35%,Texas,
Hunt,32%,31-33%,Texas,
Hutchinson,31%,30-32%,Texas,
Irion,29%,28-30%,Texas,
Jack,32%,31-33%,Texas,
Jackson,31%,30-32%,Texas,
Jasper,32%,31-33%,Texas,
Jeff Davis,30%,29-31%,Texas,
Jefferson,35%,34-36%,Texas,
Jim Hogg,33%,32-34%,Texas,
Jim Wells,33%,31-34%,Texas,
Johnson,30%,29-31%,Texas,
Jones,34%,33-35%,Texas,
Karnes,34%,33-35%,Texas,
Kaufman,32%,31-33%,Texas,
Kendall,30%,29-31%,Texas,
Kenedy,33%,32-34%,Texas,
Kent,28%,27-29%,Texas,
Kerr,29%,28-30%,Texas,
Kimble,30%,29-31%,Texas,
King,30%,29-31%,Texas,
Kinney,32%,31-33%,Texas,
Kleberg,33%,32-34%,Texas,
Knox,31%,30-32%,Texas,
La Salle,33%,31-35%,Texas,
Lamar,34%,33-35%,Texas,
Lamb,32%,31-33%,Texas,
Lampasas,30%,29-31%,Texas,
Lavaca,30%,29-31%,Texas,
Lee,31%,30-32%,Texas,
Leon,30%,29-31%,Texas,
Liberty,33%,32-34%,Texas,
Limestone,33%,32-34%,Texas,
Lipscomb,31%,30-32%,Texas,
Live Oak,31%,30-32%,Texas,
Llano,29%,27-30%,Texas,
Loving,33%,31-34%,Texas,
Lubbock,34%,33-35%,Texas,
Lynn,33%,32-33%,Texas,
Madison,33%,33-34%,Texas,
Marion,32%,31-33%,Texas,
Martin,31%,30-32%,Texas,
Mason,29%,28-30%,Texas,
Matagorda,33%,32-34%,Texas,
Maverick,33%,32-35%,Texas,
McCulloch,31%,30-32%,Texas,
McLennan,32%,31-33%,Texas,
McMullen,30%,29-31%,Texas,
Medina,30%,29-31%,Texas,
Menard,29%,28-30%,Texas,
Midland,31%,31-32%,Texas,
Milam,32%,31-33%,Texas,
Mills,30%,29-31%,Texas,
Mitchell,32%,31-32%,Texas,
Montague,30%,29-31%,Texas,
Montgomery,32%,31-33%,Texas,
Moore,32%,31-33%,Texas,
Morris,33%,32-34%,Texas,
Motley,30%,29-30%,Texas,
Nacogdoches,32%,31-33%,Texas,
Navarro,33%,32-33%,Texas,
Newton,33%,32-34%,Texas,
Nolan,31%,30-32%,Texas,
Nueces,33%,32-33%,Texas,
Ochiltree,32%,31-33%,Texas,
Oldham,31%,30-32%,Texas,
Orange,33%,32-34%,Texas,
Palo Pinto,32%,30-33%,Texas,
Panola,31%,30-32%,Texas,
Parker,29%,28-30%,Texas,
Parmer,32%,31-33%,Texas,
Pecos,33%,32-34%,Texas,
Polk,32%,31-33%,Texas,
Potter,34%,33-35%,Texas,
Presidio,32%,31-33%,Texas,
Rains,29%,28-30%,Texas,
Randall,32%,31-33%,Texas,
Reagan,33%,32-34%,Texas,
Real,30%,29-31%,Texas,
Red River,30%,29-31%,Texas,
Reeves,34%,32-35%,Texas,
Refugio,32%,31-32%,Texas,
Roberts,29%,28-30%,Texas,
Robertson,33%,33-34%,Texas,
Rockwall,30%,29-31%,Texas,
Runnels,32%,31-33%,Texas,
Rusk,30%,29-31%,Texas,
Sabine,31%,30-32%,Texas,
San Augustine,34%,33-35%,Texas,
San Jacinto,33%,32-34%,Texas,
San Patricio,32%,31-33%,Texas,
San Saba,31%,30-32%,Texas,
Schleicher,30%,30-31%,Texas,
Scurry,31%,30-32%,Texas,
Shackelford,30%,29-30%,Texas,
Shelby,35%,34-35%,Texas,
Sherman,31%,30-32%,Texas,
Smith,33%,33-34%,Texas,
Somervell,31%,30-32%,Texas,
Starr,35%,34-37%,Texas,
Stephens,32%,31-33%,Texas,
Sterling,33%,32-34%,Texas,
Stonewall,30%,30-31%,Texas,
Sutton,30%,29-31%,Texas,
Swisher,32%,31-33%,Texas,
Tarrant,35%,34-35%,Texas,
Taylor,31%,31-32%,Texas,
Terrell,31%,30-32%,Texas,
Terry,33%,32-34%,Texas,
Throckmorton,29%,28-29%,Texas,
Titus,33%,32-34%,Texas,
Tom Green,33%,32-34%,Texas,
Travis,29%,28-29%,Texas,
Trinity,31%,30-32%,Texas,
Tyler,30%,29-31%,Texas,
Upshur,32%,30-33%,Texas,
Upton,32%,31-32%,Texas,
Uvalde,32%,31-33%,Texas,
Val Verde,32%,31-34%,Texas,
Van Zandt,30%,29-31%,Texas,
Victoria,32%,31-33%,Texas,
Walker,34%,33-35%,Texas,
Waller,35%,34-35%,Texas,
Ward,31%,31-32%,Texas,
Washington,30%,30-31%,Texas,
Webb,36%,34-37%,Texas,
Wharton,32%,31-33%,Texas,
Wheeler,31%,30-32%,Texas,
Wichita,37%,37-38%,Texas,
Wilbarger,31%,30-32%,Texas,
Willacy,36%,34-37%,Texas,
Williamson,32%,31-32%,Texas,
Wilson,30%,29-31%,Texas,
Winkler,32%,31-33%,Texas,
Wise,31%,30-32%,Texas,
Wood,29%,28-30%,Texas,
Yoakum,31%,30-33%,Texas,
Young,29%,28-30%,Texas,
Zapata,35%,33-36%,Texas,
Zavala,35%,34-36%,Texas,
,,,,
Anderson,36%,35-37%,Tennessee,
Bedford,36%,35-37%,Tennessee,
Benton,37%,36-38%,Tennessee,
Bledsoe,37%,36-38%,Tennessee,
Blount,33%,32-35%,Tennessee,
Bradley,37%,36-38%,Tennessee,
Campbell,34%,33-35%,Tennessee,
Cannon,34%,33-36%,Tennessee,
Carroll,36%,35-37%,Tennessee,
Carter,36%,35-37%,Tennessee,
Cheatham,34%,32-35%,Tennessee,
Chester,35%,34-36%,Tennessee,
Claiborne,35%,34-36%,Tennessee,
Clay,36%,35-37%,Tennessee,
Cocke,37%,36-38%,Tennessee,
Coffee,36%,34-37%,Tennessee,
Crockett,36%,35-37%,Tennessee,
Cumberland,37%,35-38%,Tennessee,
Davidson,39%,38-40%,Tennessee,
Decatur,33%,32-35%,Tennessee,
DeKalb,35%,34-36%,Tennessee,
Dickson,36%,34-37%,Tennessee,
Dyer,36%,35-37%,Tennessee,
Fayette,35%,34-36%,Tennessee,
Fentress,33%,32-34%,Tennessee,
Franklin,35%,34-36%,Tennessee,
Gibson,35%,34-36%,Tennessee,
Giles,35%,34-36%,Tennessee,
Grainger,36%,35-37%,Tennessee,
Greene,38%,37-39%,Tennessee,
Grundy,36%,35-37%,Tennessee,
Hamblen,37%,36-38%,Tennessee,
Hamilton,37%,36-37%,Tennessee,
Hancock,37%,36-38%,Tennessee,
Hardeman,41%,40-42%,Tennessee,
Hardin,33%,32-34%,Tennessee,
Hawkins,35%,34-36%,Tennessee,
Haywood,39%,38-40%,Tennessee,
Henderson,38%,37-39%,Tennessee,
Henry,35%,34-37%,Tennessee,
Hickman,36%,35-38%,Tennessee,
Houston,36%,35-38%,Tennessee,
Humphreys,35%,34-36%,Tennessee,
Jackson,37%,35-38%,Tennessee,
Jefferson,33%,32-34%,Tennessee,
Johnson,37%,36-38%,Tennessee,
Knox,34%,33-35%,Tennessee,
Lake,39%,38-40%,Tennessee,
Lauderdale,40%,39-41%,Tennessee,
Lawrence,37%,36-38%,Tennessee,
Lewis,35%,33-36%,Tennessee,
Lincoln,39%,38-41%,Tennessee,
Loudon,33%,32-34%,Tennessee,
Macon,37%,36-38%,Tennessee,
Madison,37%,37-38%,Tennessee,
Marion,37%,35-38%,Tennessee,
Marshall,35%,34-36%,Tennessee,
Maury,36%,35-37%,Tennessee,
McMinn,36%,35-37%,Tennessee,
McNairy,36%,35-37%,Tennessee,
Meigs,35%,34-37%,Tennessee,
Monroe,35%,34-36%,Tennessee,
Montgomery,41%,40-42%,Tennessee,
Moore,34%,33-35%,Tennessee,
Morgan,37%,36-38%,Tennessee,
Obion,36%,35-37%,Tennessee,
Overton,35%,33-36%,Tennessee,
Perry,35%,33-36%,Tennessee,
Pickett,34%,32-35%,Tennessee,
Polk,36%,34-37%,Tennessee,
Putnam,33%,32-34%,Tennessee,
Rhea,35%,34-37%,Tennessee,
Roane,35%,34-36%,Tennessee,
Robertson,35%,34-36%,Tennessee,
Rutherford,37%,36-38%,Tennessee,
Scott,35%,33-36%,Tennessee,
Sequatchie,35%,33-36%,Tennessee,
Sevier,35%,33-36%,Tennessee,
Shelby,38%,38-39%,Tennessee,
Smith,33%,32-35%,Tennessee,
Stewart,35%,34-36%,Tennessee,
Sullivan,35%,34-36%,Tennessee,
Sumner,33%,32-34%,Tennessee,
Tipton,37%,36-38%,Tennessee,
Trousdale,35%,34-36%,Tennessee,
Unicoi,35%,34-36%,Tennessee,
Union,35%,34-36%,Tennessee,
Van Buren,34%,33-36%,Tennessee,
Warren,34%,33-35%,Tennessee,
Washington,38%,37-39%,Tennessee,
Wayne,38%,36-39%,Tennessee,
Weakley,35%,34-36%,Tennessee,
White,34%,33-35%,Tennessee,
Williamson,33%,32-34%,Tennessee,
Wilson,33%,32-34%,Tennessee,
,,,,
Aurora,24%,23-25%,South Dakota,
Beadle,26%,26-27%,South Dakota,
Bennett,29%,28-30%,South Dakota,
Bon Homme,27%,26-28%,South Dakota,
Brookings,24%,23-25%,South Dakota,
Brown,25%,24-26%,South Dakota,
Brule,26%,25-27%,South Dakota,
Buffalo,35%,33-36%,South Dakota,
Butte,25%,24-26%,South Dakota,
Campbell,26%,25-27%,South Dakota,
Charles Mix,26%,26-27%,South Dakota,
Clark,27%,26-28%,South Dakota,
Clay,28%,26-30%,South Dakota,
Codington,25%,25-26%,South Dakota,
Corson,33%,32-34%,South Dakota,
Custer,25%,24-26%,South Dakota,
Davison,26%,25-27%,South Dakota,
Day,25%,24-26%,South Dakota,
Deuel,24%,23-25%,South Dakota,
Dewey,32%,31-33%,South Dakota,
Douglas,24%,23-25%,South Dakota,
Edmunds,25%,24-26%,South Dakota,
Fall River,24%,23-25%,South Dakota,
Faulk,26%,25-27%,South Dakota,
Grant,24%,23-25%,South Dakota,
Gregory,26%,24-27%,South Dakota,
Haakon,26%,25-27%,South Dakota,
Hamlin,24%,23-26%,South Dakota,
Hand,23%,22-24%,South Dakota,
Hanson,25%,24-27%,South Dakota,
Harding,25%,24-27%,South Dakota,
Hughes,23%,22-24%,South Dakota,
Hutchinson,24%,23-25%,South Dakota,
Hyde,25%,24-26%,South Dakota,
Jackson,30%,29-31%,South Dakota,
Jerauld,24%,23-25%,South Dakota,
Jones,25%,24-26%,South Dakota,
Kingsbury,25%,24-26%,South Dakota,
Lake,25%,23-26%,South Dakota,
Lawrence,25%,25-26%,South Dakota,
Lincoln,24%,23-25%,South Dakota,
Lyman,28%,27-29%,South Dakota,
Marshall,25%,24-26%,South Dakota,
McCook,24%,23-25%,South Dakota,
McPherson,25%,24-26%,South Dakota,
Meade,26%,26-27%,South Dakota,
Mellette,31%,30-32%,South Dakota,
Miner,25%,24-26%,South Dakota,
Minnehaha,26%,25-27%,South Dakota,
Moody,26%,26-27%,South Dakota,
Oglala Lakota,37%,35-38%,South Dakota,
Pennington,25%,24-25%,South Dakota,
